College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 181  South Florida           =  71.02    7  22   77.16(  65)    0   2  |    1   6  |   68.77  218 |   72.84  153
 182  Wis.-Green Bay          =  70.99   14  16   73.25( 159)    0   0  |    0   2  |   72.09  172 |   69.52  199
 183  Lehigh                  =  70.92   17  12   69.43( 267)    0   1  |    0   2  |   70.93  185 |   70.58  181
 184  Portland State          =  70.86   10  16   73.43( 152)    0   0  |    0   2  |   69.39  206 |   71.94  165
 185  Cent. Connecticut State =  70.80   18  11   66.94( 312)    0   0  |    0   0  |   69.75  198 |   71.48  170
 186  Jacksonville State      =  70.78   15  13   69.82( 259)    0   0  |    0   0  |   71.68  175 |   69.51  200
 187  High Point              =  70.71   14  13   70.13( 250)    0   0  |    0   0  |   71.06  183 |   70.00  192
 188  Monmouth-NJ          $  =  70.70   18  14   69.68( 262)    0   0  |    0   0  |   70.86  186 |   70.19  189
 189  North Dakota State      =  70.67   12  12   70.31( 243)    0   0  |    0   0  |   69.79  197 |   71.20  175
 190  Niagara                 =  70.61   11  18   73.71( 138)    0   0  |    0   0  |   70.66  188 |   70.22  188
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 191  Delaware State          =  70.41   20  13   69.42( 268)    0   0  |    0   1  |   72.40  164 |   67.95  225
 192  SE Louisiana            =  70.37   13  11   69.58( 264)    0   0  |    0   0  |   71.05  184 |   69.32  205
 193  Western Michigan        =  70.15   13  17   73.71( 140)    0   0  |    0   0  |   72.30  169 |   67.47  233
 194  Lipscomb                =  70.14   21  10   64.79( 331)    0   0  |    0   1  |   68.73  219 |   71.15  176
 195  North Texas             =  70.01   11  14   71.88( 193)    0   0  |    0   0  |   70.28  191 |   69.39  203
 196  Ball State              =  69.92    8  18   73.87( 132)    0   0  |    0   1  |   69.02  210 |   70.45  184
 197  Lamar                   =  69.90   14  13   69.39( 269)    0   1  |    0   1  |   69.69  200 |   69.77  197
 198  Portland                =  69.78   11  17   73.83( 134)    0   0  |    0   2  |   70.54  189 |   68.65  212
 199  Tennessee State         =  69.77   12  15   71.16( 209)    0   1  |    0   1  |   69.96  194 |   69.24  208
 200  Idaho State             =  69.76   11  14   71.22( 205)    0   1  |    0   1  |   68.77  217 |   70.38  185
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 201  Richmond                =  69.76   13  17   73.70( 141)    0   0  |    0   2  |   72.34  168 |   66.52  245
 202  Troy                    =  69.67   11  15   71.01( 218)    0   0  |    0   0  |   68.95  212 |   70.03  191
 203  Pepperdine              =  69.64    7  20   76.58(  75)    0   2  |    0   4  |   69.00  211 |   69.92  194
 204  SMU                     =  69.63   12  16   69.91( 256)    0   1  |    0   1  |   67.04  241 |   71.66  168
 205  Texas-Arlington         =  69.55   10  16   72.33( 184)    0   1  |    0   1  |   69.27  208 |   69.48  201
 206  Southern U.          $  =  69.45   19  12   67.67( 305)    0   1  |    0   2  |   69.17  209 |   69.39  204
